zaman,cpu_kullanimi,bellek_kullanimi,disk_kullanimi
1740474893.0,14.3,55.6,27.6
1740474913.0,25.6,57.9,27.6
1740474933.0,15.3,55.3,27.6
1740474953.0,15.1,54.2,27.6
1740474973.0,15.6,54.3,27.6
1740474993.0,13.5,55.8,27.6
1740475013.0,16.8,56.0,27.6
1740475033.0,15.1,55.8,27.6
1740475053.0,16.6,55.7,27.6
1740475073.0,15.9,55.7,27.6
1740475093.0,13.4,55.3,27.6
1740475113.0,14.6,55.3,27.6
1740475133.0,15.4,55.4,27.6
1740475153.0,14.9,55.3,27.6
1740475173.0,14.3,55.1,27.6
1740475193.0,15.4,55.5,27.6
1740475213.0,14.8,55.3,27.6
1740475233.0,13.8,55.2,27.6
1740475253.0,12.2,55.2,27.6
1740475273.0,13.3,55.6,27.6
1740475293.0,14.5,54.2,27.6
1740475313.0,15.3,54.2,27.6
1740475333.0,13.8,54.0,27.6
1740475353.0,14.8,53.9,27.6
1740475373.0,15.4,54.0,27.6
1740475393.0,13.8,53.1,27.6
1740475413.0,15.7,53.2,27.6
1740475433.0,14.9,53.5,27.6
1740475453.0,14.8,53.4,27.6
1740475473.0,12.9,53.8,27.6
1740475493.0,13.4,56.1,27.6
1740475513.0,14.6,55.7,27.6
1740475533.0,14.4,56.8,27.6
1740475553.0,11.7,56.5,27.6
1740475573.0,13.2,56.2,27.6
1740475593.0,10.7,57.0,27.6
1740475613.0,12.6,56.7,27.6
1740475633.0,11.8,56.8,27.6
1740475653.0,11.1,57.1,27.6
1740475673.0,12.7,57.5,27.6
1740475693.0,10.8,59.9,27.6
1740475713.0,11.5,59.2,27.6
1740475734.0,10.6,58.2,27.6
1740475754.0,11.6,57.5,27.6
1740475774.0,11.3,57.5,27.6
1740475794.0,13.5,56.9,27.6
1740475814.0,11.2,56.9,27.6
1740475834.0,12.5,57.3,27.6
1740475854.0,12.3,52.3,27.6
1740475874.0,10.3,52.5,27.6
1740475894.0,12.9,53.1,27.6
1740475914.0,14.6,55.7,27.6
1740475934.0,10.8,58.5,27.6
1740475954.0,11.9,61.9,27.6
1740475974.0,11.0,61.3,27.6
1740475994.0,13.5,60.9,27.6
1740476014.0,15.1,60.6,27.6
1740476034.0,12.8,60.6,27.6
1740476054.0,13.5,60.3,27.6
1740476074.0,12.4,61.0,27.6
1740476094.0,13.8,60.6,27.6
1740476114.0,15.8,60.8,27.6
1740476134.0,16.1,60.7,27.6
1740476154.0,18.0,60.5,27.6
1740476174.0,17.0,60.7,27.6
1740476194.0,15.3,60.1,27.6
1740476214.0,15.2,59.9,27.6
1740476234.0,13.2,59.6,27.6
1740476254.0,14.1,59.8,27.6
1740476274.0,14.5,59.5,27.6
1740476294.0,14.9,60.0,27.6
1740476314.0,14.5,59.9,27.6
1740476334.0,12.9,56.1,27.6
1740476354.0,12.7,56.4,27.6
1740476374.0,13.3,59.1,27.6
1740476394.0,14.4,59.3,27.6
1740476414.0,11.7,59.3,27.6
1740476434.0,11.8,59.1,27.6
1740476454.0,11.8,59.3,27.6
1740476474.0,10.5,59.3,27.6
1740476494.0,10.8,59.4,27.6
1740476514.0,10.4,59.4,27.6
1740476534.0,10.8,59.5,27.6
1740476554.0,10.3,59.4,27.6
1740476574.0,10.7,59.5,27.6
1740476594.0,10.4,59.3,27.6
1740476614.0,9.0,59.4,27.6
1740476634.0,10.1,59.2,27.6
1740476654.0,12.2,59.2,27.6
1740476674.0,12.2,56.2,27.6
1740476694.0,10.9,56.3,27.6
1740476714.0,12.5,56.4,27.6
1740476734.0,12.9,56.6,27.6
1740476754.0,13.2,56.5,27.6
1740476774.0,13.5,56.5,27.6
1740476794.0,12.9,57.5,27.6
1740476814.0,13.4,58.2,27.6
1740476834.0,13.6,57.7,27.6
1740476854.0,12.4,57.5,27.6
1740476874.0,14.7,57.3,27.6
1740476894.0,14.3,57.5,27.6
1740476914.0,14.9,57.3,27.6
1740476934.0,15.6,57.4,27.6
1740476954.0,16.6,57.9,27.6
1740476974.0,11.1,55.0,27.6
1740476994.0,13.0,55.1,27.6
1740477014.0,13.8,55.3,27.6
1740477034.0,13.0,55.5,27.6
1740477054.0,13.2,55.3,27.6
1740477074.0,12.2,55.3,27.6
1740477094.0,11.8,55.5,27.6
1740477114.0,15.9,55.0,27.6
1740477134.0,13.8,55.0,27.6
1740477154.0,15.0,55.1,27.6
1740477174.0,11.7,54.8,27.6
1740477194.0,14.4,55.1,27.6
1740477214.0,17.8,55.3,27.6
1740477234.0,17.8,55.3,27.6
1740477254.0,15.2,55.3,27.6
1740477274.0,17.2,55.6,27.6
1740477294.0,19.1,55.8,27.6
1740477314.0,19.1,55.3,27.6
1740477334.0,18.3,55.3,27.6
1740477354.0,17.3,55.5,27.6
1740477374.0,17.7,55.9,27.6
1740477394.0,19.7,56.7,27.6
1740477414.0,21.4,55.7,27.6
1740477434.0,21.4,55.9,27.6
1740477454.0,21.4,56.3,27.6
1740477474.0,21.2,56.5,27.6
1740477494.0,20.3,56.3,27.6
1740477514.0,20.9,56.5,27.6
1740477534.0,18.9,56.5,27.6
1740477554.0,19.6,56.6,27.6
1740477574.0,14.5,56.0,27.6
1740477594.0,20.2,55.4,27.6
1740477614.0,19.4,55.6,27.6
1740477634.0,19.6,54.8,27.6
1740477654.0,18.9,52.5,27.6
1740477674.0,22.7,51.6,27.6
1740477694.0,22.4,51.7,27.6
1740477714.0,23.4,52.3,27.6
1740477734.0,22.3,52.5,27.6
1740477754.0,21.3,52.5,27.6
1740477774.0,22.4,52.1,27.6
1740477794.0,22.1,52.2,27.6
1740477814.0,21.5,53.6,27.6
1740477834.0,20.9,54.0,27.6
1740477854.0,19.3,52.6,27.6
1740477874.0,23.2,50.0,27.6
1740477894.0,22.3,50.0,27.6
1740477914.0,21.7,50.1,27.6
1740477934.0,21.4,50.3,27.6
1740477954.0,20.5,50.6,27.6
1740477974.0,19.5,50.6,27.6
1740477994.0,21.3,50.6,27.6
1740478014.0,18.8,50.2,27.6
1740478034.0,18.3,50.0,27.6
1740478054.0,19.0,50.5,27.6
1740478074.0,20.5,50.6,27.6
1740478094.0,20.7,50.4,27.6
1740478114.0,17.7,50.7,27.6
1740478134.0,19.3,50.6,27.6
1740478154.0,17.1,50.9,27.6
1740478174.0,20.7,50.1,27.6
1740478194.0,21.4,50.1,27.6
1740478214.0,20.4,50.6,27.6
1740478234.0,10.9,48.3,27.6
1740478254.0,0.4,48.2,27.6
1740478274.0,0.5,47.8,27.6
1740478294.0,1.4,47.9,27.6
1740478314.0,0.6,47.9,27.6
1740478334.0,1.0,48.4,27.6
1740478354.0,2.0,45.4,27.6
1740478374.0,1.4,42.5,27.6
1740478394.0,1.8,44.6,27.6
1740478414.0,5.7,45.4,27.6
1740478434.0,1.7,45.1,27.6
1740478454.0,0.3,44.9,27.6
1740478474.0,0.5,45.1,27.6
1740478494.0,0.7,44.9,27.6
1740478514.0,0.5,44.9,27.6
1740478534.0,0.6,44.8,27.6
1740478554.0,0.6,44.8,27.6
1740478574.0,0.6,44.7,27.6
1740478594.0,0.4,44.7,27.6
1740478614.0,0.6,44.5,27.6
1740478634.0,0.3,44.6,27.6
1740478654.0,0.7,45.9,27.6
1740478674.0,2.8,45.9,27.6
1740478694.0,0.4,43.5,27.6
1740478714.0,0.1,43.4,27.6
1740478734.0,0.2,43.3,27.6
1740478754.0,0.1,43.3,27.6
1740478774.0,0.2,43.3,27.6
1740478794.0,0.3,43.2,27.6
1740478814.0,2.3,44.4,27.6
1740478834.0,4.8,45.0,27.6
1740478854.0,4.1,46.0,27.6
1740478874.0,5.8,46.8,27.7
1740478894.0,6.8,45.7,27.7
1740478914.0,2.7,51.3,27.7
1740478934.0,2.2,54.2,27.7
1740478954.0,3.2,55.3,27.7
1740478974.0,1.6,54.8,27.7
1740478994.0,1.8,55.4,27.7
1740479014.0,0.7,54.9,27.7
1740479034.0,1.6,55.9,27.7
1740479054.0,1.7,50.7,27.7
1740479074.0,3.8,55.8,27.7
1740479094.0,1.2,55.8,27.7
1740479114.0,3.8,52.7,27.7
1740479134.0,11.1,57.8,27.7
1740479154.0,16.4,62.9,28.2
1740479174.0,3.4,63.4,28.2
1740479194.0,3.6,63.3,28.2
1740479214.0,48.8,66.0,28.5
1740479235.0,77.5,67.3,28.5
1740479255.0,74.9,69.7,28.5
1740479275.0,67.9,72.6,28.5
1740479295.0,43.8,73.1,28.5
1740479315.0,24.4,74.2,28.5
1740479335.0,25.9,74.9,28.5
1740479355.0,21.9,75.4,28.6
1740479375.0,11.8,76.7,28.6
1740479395.0,6.2,82.7,29.0
1740479415.0,5.5,78.0,29.0
1740479435.0,4.2,77.4,29.0
1740479455.0,2.5,76.7,28.8
1740479475.0,2.3,76.8,28.8
1740479495.0,2.3,78.0,28.8
1740479515.0,7.5,77.3,28.8
1740479535.0,1.8,76.5,28.8
1740479555.0,1.8,76.5,28.8
1740479575.0,2.0,76.6,28.8
